Z,Zs,X,Y
0.011697364218346183,0.5554741852801172,132.0,18.0
0.011697293437830512,0.5693885023800805,132.0,20.0
0.011697576559893196,0.513731233980227,132.0,22.0
0.011697850368730132,0.4599047967777371,132.0,24.0
0.01169790438543946,0.4492859758330282,132.0,26.0
0.011697919286600654,0.44635664591724644,132.0,28.0
0.011697958402148788,0.4386671548883193,132.0,30.0
0.011698107413760726,0.40937385573050167,132.0,32.0
0.011697950951568191,0.4401318198462102,132.0,34.0
0.011698126040212219,0.40571219333577446,132.0,36.0
0.011698500431887214,0.33211277920175764,132.0,38.0
0.011698183782211845,0.3943610399121201,132.0,40.0
0.011698718361369674,0.28927132918344933,132.0,42.0
0.011697841055504386,0.4617356279751007,134.0,-10.0
0.011697969578019683,0.436470157451483,134.0,-8.0
0.011697550482861106,0.5188575613328451,134.0,-6.0
0.011697665966860359,0.49615525448553643,134.0,-4.0
0.0116974443120876,0.5397290369827902,134.0,-2.0
0.01169734745453984,0.5587696814353716,134.0,0.0
0.011697436861507003,0.5411937019406811,134.0,2.0
0.011697600774280136,0.5089710728670817,134.0,4.0
0.011697524405829017,0.5239838886854632,134.0,6.0
0.01169756724666745,0.5155620651775906,134.0,8.0
0.011697285987249915,0.5708531673379714,134.0,10.0
0.011697099722734992,0.6074697912852435,134.0,12.0
0.011696989826671188,0.6290735994141341,134.0,14.0
0.011697069920412605,0.613328451116807,134.0,16.0
0.011697073645702903,0.6125961186378616,134.0,18.0
0.011697215206734245,0.5847674844379348,134.0,20.0
0.01169734559189469,0.5591358476748444,134.0,22.0
0.011697431273571555,0.5422922006590992,134.0,24.0
0.011697764687053268,0.47674844379348225,134.0,26.0
0.011697936050406997,0.44306114976199196,134.0,28.0
0.011697958402148788,0.4386671548883193,134.0,30.0
0.011697895072213714,0.4511168070303918,134.0,32.0
0.011698260150662963,0.3793482240937386,134.0,34.0
0.01169807574879319,0.4155986818015379,134.0,36.0
0.011697878308407371,0.4544123031856463,134.0,38.0
0.011698256425372665,0.380080556572684,134.0,40.0
0.011698200546018188,0.39106554375686564,134.0,42.0
0.011697706945053642,0.4880995972171366,136.0,-10.0
0.0116978075278917,0.4683266202856097,136.0,-8.0
0.011697822429052894,0.4653972903698279,136.0,-6.0
0.011697680868021552,0.49322592456975467,136.0,-4.0
0.011697289712540214,0.570120834859026,136.0,-2.0
0.01169729716312081,0.5686561699011351,136.0,0.0
0.01169725245963723,0.5774441596484804,136.0,2.0
0.01169715560208947,0.5964848041010619,136.0,4.0
